attendance_rate,study_hours_weekly,participation_rate,assignment_avg_score,midterm_score,sleep_hours_avg,extracurricular_hours_weekly,parental_involvement,internet_access,final_exam_score
95.94191518470949,20.11664205073332,62.80760548901135,67.40693964137954,71.43807083226679,7.640176851942531,7.76023971609258,Medium,Yes,73.52276390526457
84.29834288541353,16.915047062515082,63.15818758788718,77.17275291325299,53.117898050745524,5.103333999641693,1.6043349810872245,Medium,Yes,62.065979192724775
72.77872191108054,7.925761253041185,75.02587043626177,82.237136219386,67.19533461787023,6.522964584167417,6.06449915160189,Low,Yes,63.95426524125114
90.00917187624381,24.080698459452787,71.28839509439996,65.45331518470941,61.643016809402255,7.805498177372868,12.769386289852818,Low,Yes,70.53932753049058
75.95683374895592,8.282295400265934,53.03667347011127,62.384281060327865,58.15917870684701,7.067993401558739,2.7902798405406526,Medium,Yes,58.58690669380898
84.75874912889996,22.905585213647758,83.35371251254763,49.96226809954698,45.5633606630191,7.146766253386126,12.144627091419782,High,Yes,62.868137491100974
96.67782061659807,9.732104479460634,98.06447763057673,79.16051973125904,84.14060732193767,6.992845038850999,7.589588093836937,High,Yes,84.1271678877402
68.3847993773104,4.389363806622891,56.10428305027692,97.29242812245279,97.55681503183179,6.30099392807611,7.840169295441864,High,Yes,84.11349211737111
90.95157025436913,18.178156526140384,81.6840475526817,64.151180523168,63.83317870810818,5.761929450057546,5.969244017114522,,Yes,69.85537895396743
88.61395605508415,14.718476526724896,84.48096226886756,59.768034041439606,67.55768661201245,5.7852918104420095,8.30580538048969,Medium,Yes,67.14563020510312
75.0164595926121,15.651358234659138,94.38938373043095,79.55721163249075,68.10239556338978,8.933294634066105,0.0,High,No,66.61649101970931
90.04046515517844,30.61009868508237,59.26360016333872,68.27270835783229,70.75666523578565,5.870265050089357,3.5235082070002735,High,No,71.1763416238817
100.0,14.84087244450564,73.86628810214125,50.06625816172564,62.1604865078629,8.58317772391403,9.076126621769102,High,No,65.45184100586899
58.49030191606988,20.043720159027316,78.28449906519285,73.29424155671344,62.74427068308191,5.123684723418786,7.54299987272678,Medium,Yes,64.24855845006971
78.46670767426288,10.38016061364815,50.04529561391515,66.20212563468004,88.30371936580401,5.329455605971391,8.569204940044704,Low,Yes,65.6566736142577
73.74510952701624,14.532976817923188,69.90218027155812,79.74983737315108,70.70114375443882,7.311790005239691,14.786584219915817,Medium,Yes,70.22698611616424
86.66452208213056,15.959138351984402,73.25163345643944,94.30537026881248,97.67746464486126,8.065196343486763,15.764886889887656,Medium,Yes,85.4137135049737
69.43370826476097,17.458911941571074,73.73962893462593,73.31549929313596,77.09448475626178,6.788152887788355,5.002521499310075,Medium,Yes,75.24049912466475
93.1286211883896,16.60435388443142,79.75675138804209,61.15979387284849,52.965307862521314,8.035587434496389,4.612913692933152,High,Yes,69.5874263765538
80.79354677234642,2.0,56.46922668463735,85.26666790824855,71.89829710756963,7.802022054202546,6.922443395064858,Medium,No,64.54535687726201
85.28744822934817,22.03874782551985,61.452506076418615,95.02883430991596,76.24614850168106,7.017639141220753,7.689739891605759,High,Yes,83.97229766820055
86.94089992898307,12.167456533817235,89.43807672794522,74.28701782473007,84.92836537249312,5.881146298134153,5.873925946687583,High,Yes,80.31726174491261
91.51391251305797,20.36954626166665,63.218645007503795,93.2788634605471,66.7018367057824,7.679181122062957,0.7816422247981096,High,Yes,82.64538895202026
86.86454314769428,11.678470549752031,55.690908709050326,59.940927983972486,58.48562669920231,8.643091806270274,6.210105472861265,High,Yes,63.92346161231691
79.89983601145254,8.941615771740375,36.29665999023092,88.75729044480873,83.71099556459795,5.108673631342751,11.312664215829331,Medium,Yes,73.90420682367605
91.62130674521046,14.085180981716736,59.83653021496517,75.36037774996899,57.63343022934616,7.990865212696104,6.743350515611012,Low,Yes,65.07405934736974
83.2305277250595,8.365771989084386,60.44038379456808,58.317336898158445,91.59073953051595,6.437350681421332,7.636259753336228,High,Yes,71.74072851371102
83.48214904964416,3.98276776138022,81.75085763923893,71.0385588724026,65.15065871730566,5.739723947591799,1.8392051561781075,Medium,Yes,67.97929756848885
86.32969674146877,8.563541845561161,67.07954055824978,70.8428819279172,75.46393434760216,7.972948521420131,7.72941085680136,Medium,No,72.60523840938616
81.40707909212941,17.54436626678454,90.82506667312671,73.0545122942417,87.23336526372893,6.198978181520852,13.222297730747261,Medium,Yes,81.91200217982585
83.8767195030917,11.516859301171664,83.03734096583909,77.10344134720708,68.1722456165081,4.8392099229288075,1.1689624298265908,High,Yes,71.67818991182348
